year,lat,lon,annual_electricity_savings_€
2021,40.5,22.0,837.69
2022,40.5,22.0,847.83
2023,40.5,22.0,797.23
2024,40.5,22.0,837.85
2025,40.5,22.0,808.61
2026,40.5,22.0,795.67
2027,40.5,22.0,875.36
2028,40.5,22.0,860.31
2029,40.5,22.0,872.68
2030,40.5,22.0,848.24
2031,40.5,22.0,833.68
2032,40.5,22.0,822.9
2033,40.5,22.0,835.3
2034,40.5,22.0,804.01
2035,40.5,22.0,827.37
2036,40.5,22.0,856.84
2037,40.5,22.0,842.95
2038,40.5,22.0,879.5
2039,40.5,22.0,828.76
2040,40.5,22.0,836.72
2041,40.5,22.0,790.4
2042,40.5,22.0,870.23
2043,40.5,22.0,859.23
2044,40.5,22.0,863.99
2045,40.5,22.0,817.23
2046,40.5,22.0,850.89
2047,40.5,22.0,836.01
2048,40.5,22.0,822.29
2049,40.5,22.0,865.97
2050,40.5,22.0,874.05
2051,40.5,22.0,823.25
2052,40.5,22.0,873.23
2053,40.5,22.0,847.19
2054,40.5,22.0,867.06
2055,40.5,22.0,798.24
2056,40.5,22.0,852.91
2057,40.5,22.0,841.98
2058,40.5,22.0,877.38
2059,40.5,22.0,838.85
2060,40.5,22.0,851.0
2061,40.5,22.0,880.18
2062,40.5,22.0,821.83
2063,40.5,22.0,854.36
2064,40.5,22.0,874.78
2065,40.5,22.0,856.79
2066,40.5,22.0,839.83
2067,40.5,22.0,868.33
2068,40.5,22.0,836.88
2069,40.5,22.0,832.7
2070,40.5,22.0,850.25
2071,40.5,22.0,835.12
2072,40.5,22.0,830.26
2073,40.5,22.0,856.66
2074,40.5,22.0,845.98
2075,40.5,22.0,836.61
2076,40.5,22.0,874.71
2077,40.5,22.0,907.34
2078,40.5,22.0,833.15
2079,40.5,22.0,885.84
2080,40.5,22.0,887.22
2081,40.5,22.0,869.75
2082,40.5,22.0,865.67
2083,40.5,22.0,859.19
2084,40.5,22.0,856.49
2085,40.5,22.0,796.32
2086,40.5,22.0,835.93
2087,40.5,22.0,850.11
2088,40.5,22.0,809.18
2089,40.5,22.0,884.64
2090,40.5,22.0,898.64
2091,40.5,22.0,817.59
2092,40.5,22.0,850.43
2093,40.5,22.0,884.76
2094,40.5,22.0,848.85
2095,40.5,22.0,822.5
2096,40.5,22.0,802.83
2097,40.5,22.0,835.09
2098,40.5,22.0,894.16
2099,40.5,22.0,848.76
2100,40.5,22.0,863.56
2021,40.5,22.1,904.11
2022,40.5,22.1,932.79
2023,40.5,22.1,872.29
2024,40.5,22.1,885.95
2025,40.5,22.1,871.18
2026,40.5,22.1,866.21
2027,40.5,22.1,925.52
2028,40.5,22.1,913.53
2029,40.5,22.1,920.03
2030,40.5,22.1,915.42
2031,40.5,22.1,900.41
2032,40.5,22.1,885.61
2033,40.5,22.1,901.91
2034,40.5,22.1,876.02
2035,40.5,22.1,869.66
2036,40.5,22.1,910.01
2037,40.5,22.1,914.88
2038,40.5,22.1,944.42
2039,40.5,22.1,901.17
2040,40.5,22.1,896.06
2041,40.5,22.1,857.35
2042,40.5,22.1,926.69
2043,40.5,22.1,907.2
2044,40.5,22.1,920.87
2045,40.5,22.1,883.66
2046,40.5,22.1,908.78
2047,40.5,22.1,908.3
2048,40.5,22.1,883.27
2049,40.5,22.1,927.59
2050,40.5,22.1,923.81
2051,40.5,22.1,875.3
2052,40.5,22.1,935.87
2053,40.5,22.1,908.56
2054,40.5,22.1,926.83
2055,40.5,22.1,872.77
2056,40.5,22.1,912.73
2057,40.5,22.1,914.89
2058,40.5,22.1,935.79
2059,40.5,22.1,889.47
2060,40.5,22.1,923.69
2061,40.5,22.1,932.39
2062,40.5,22.1,895.42
2063,40.5,22.1,910.53
2064,40.5,22.1,937.67
2065,40.5,22.1,920.75
2066,40.5,22.1,901.56
2067,40.5,22.1,930.09
2068,40.5,22.1,898.89
2069,40.5,22.1,895.37
2070,40.5,22.1,908.08
2071,40.5,22.1,896.63
2072,40.5,22.1,896.34
2073,40.5,22.1,922.31
2074,40.5,22.1,918.92
2075,40.5,22.1,900.37
2076,40.5,22.1,930.79
2077,40.5,22.1,962.55
2078,40.5,22.1,898.66
2079,40.5,22.1,931.43
2080,40.5,22.1,943.89
2081,40.5,22.1,929.37
2082,40.5,22.1,930.71
2083,40.5,22.1,912.14
2084,40.5,22.1,914.89
2085,40.5,22.1,866.45
2086,40.5,22.1,899.38
2087,40.5,22.1,901.07
2088,40.5,22.1,882.36
2089,40.5,22.1,932.05
2090,40.5,22.1,966.19
2091,40.5,22.1,881.62
2092,40.5,22.1,920.73
2093,40.5,22.1,934.14
2094,40.5,22.1,907.57
2095,40.5,22.1,891.6
2096,40.5,22.1,870.32
2097,40.5,22.1,893.95
2098,40.5,22.1,943.24
2099,40.5,22.1,904.89
2100,40.5,22.1,935.44
2021,40.5,22.200000000000003,937.84
2022,40.5,22.200000000000003,958.76
2023,40.5,22.200000000000003,915.41
2024,40.5,22.200000000000003,926.93
2025,40.5,22.200000000000003,921.57
2026,40.5,22.200000000000003,930.0
2027,40.5,22.200000000000003,961.48
2028,40.5,22.200000000000003,955.28
2029,40.5,22.200000000000003,958.06
2030,40.5,22.200000000000003,953.83
2031,40.5,22.200000000000003,937.36
2032,40.5,22.200000000000003,940.2
2033,40.5,22.200000000000003,935.26
2034,40.5,22.200000000000003,929.26
2035,40.5,22.200000000000003,919.37
2036,40.5,22.200000000000003,944.91
2037,40.5,22.200000000000003,958.06
2038,40.5,22.200000000000003,977.5
2039,40.5,22.200000000000003,945.87
2040,40.5,22.200000000000003,949.02
2041,40.5,22.200000000000003,912.71
2042,40.5,22.200000000000003,966.0
2043,40.5,22.200000000000003,955.08
2044,40.5,22.200000000000003,962.31
2045,40.5,22.200000000000003,933.69
2046,40.5,22.200000000000003,959.56
2047,40.5,22.200000000000003,946.96
2048,40.5,22.200000000000003,936.42
2049,40.5,22.200000000000003,959.99
2050,40.5,22.200000000000003,962.23
2051,40.5,22.200000000000003,925.08
2052,40.5,22.200000000000003,983.83
2053,40.5,22.200000000000003,955.96
2054,40.5,22.200000000000003,966.12
2055,40.5,22.200000000000003,927.74
2056,40.5,22.200000000000003,961.59
2057,40.5,22.200000000000003,959.42
2058,40.5,22.200000000000003,966.81
2059,40.5,22.200000000000003,943.44
2060,40.5,22.200000000000003,963.87
2061,40.5,22.200000000000003,967.14
2062,40.5,22.200000000000003,943.5
2063,40.5,22.200000000000003,959.25
2064,40.5,22.200000000000003,977.17
2065,40.5,22.200000000000003,962.16
2066,40.5,22.200000000000003,939.33
2067,40.5,22.200000000000003,971.67
2068,40.5,22.200000000000003,945.09
2069,40.5,22.200000000000003,952.1
2070,40.5,22.200000000000003,954.53
2071,40.5,22.200000000000003,945.47
2072,40.5,22.200000000000003,946.26
2073,40.5,22.200000000000003,963.46
2074,40.5,22.200000000000003,961.36
2075,40.5,22.200000000000003,955.18
2076,40.5,22.200000000000003,963.64
2077,40.5,22.200000000000003,996.01
2078,40.5,22.200000000000003,946.04
2079,40.5,22.200000000000003,965.85
2080,40.5,22.200000000000003,974.65
2081,40.5,22.200000000000003,959.3
2082,40.5,22.200000000000003,961.73
2083,40.5,22.200000000000003,961.51
2084,40.5,22.200000000000003,963.7
2085,40.5,22.200000000000003,927.92
2086,40.5,22.200000000000003,949.49
2087,40.5,22.200000000000003,946.89
2088,40.5,22.200000000000003,934.48
2089,40.5,22.200000000000003,968.42
2090,40.5,22.200000000000003,1002.73
2091,40.5,22.200000000000003,938.32
2092,40.5,22.200000000000003,972.69
2093,40.5,22.200000000000003,974.13
2094,40.5,22.200000000000003,953.45
2095,40.5,22.200000000000003,935.85
2096,40.5,22.200000000000003,929.42
2097,40.5,22.200000000000003,939.84
2098,40.5,22.200000000000003,969.51
2099,40.5,22.200000000000003,950.57
2100,40.5,22.200000000000003,974.52
2021,40.5,22.300000000000004,944.97
2022,40.5,22.300000000000004,961.83
2023,40.5,22.300000000000004,927.29
2024,40.5,22.300000000000004,937.92
2025,40.5,22.300000000000004,935.78
2026,40.5,22.300000000000004,949.63
2027,40.5,22.300000000000004,972.37
2028,40.5,22.300000000000004,967.93
2029,40.5,22.300000000000004,974.15
2030,40.5,22.300000000000004,962.78
2031,40.5,22.300000000000004,947.98
2032,40.5,22.300000000000004,955.79
2033,40.5,22.300000000000004,943.76
2034,40.5,22.300000000000004,944.85
2035,40.5,22.300000000000004,939.53
2036,40.5,22.300000000000004,957.76
2037,40.5,22.300000000000004,969.03
2038,40.5,22.300000000000004,983.24
2039,40.5,22.300000000000004,958.97
2040,40.5,22.300000000000004,967.17
2041,40.5,22.300000000000004,931.35
2042,40.5,22.300000000000004,977.18
2043,40.5,22.300000000000004,971.94
2044,40.5,22.300000000000004,978.55
2045,40.5,22.300000000000004,951.04
2046,40.5,22.300000000000004,975.88
2047,40.5,22.300000000000004,957.19
2048,40.5,22.300000000000004,955.51
2049,40.5,22.300000000000004,969.07
2050,40.5,22.300000000000004,974.9
2051,40.5,22.300000000000004,945.45
2052,40.5,22.300000000000004,993.9
2053,40.5,22.300000000000004,971.0
2054,40.5,22.300000000000004,978.81
2055,40.5,22.300000000000004,943.6
2056,40.5,22.300000000000004,975.53
2057,40.5,22.300000000000004,968.88
2058,40.5,22.300000000000004,978.98
2059,40.5,22.300000000000004,961.05
2060,40.5,22.300000000000004,974.93
2061,40.5,22.300000000000004,982.52
2062,40.5,22.300000000000004,958.4
2063,40.5,22.300000000000004,976.33
2064,40.5,22.300000000000004,987.31
2065,40.5,22.300000000000004,973.88
2066,40.5,22.300000000000004,949.56
2067,40.5,22.300000000000004,984.72
2068,40.5,22.300000000000004,960.53
2069,40.5,22.300000000000004,972.57
2070,40.5,22.300000000000004,966.44
2071,40.5,22.300000000000004,959.56
2072,40.5,22.300000000000004,960.34
2073,40.5,22.300000000000004,972.77
2074,40.5,22.300000000000004,973.21
2075,40.5,22.300000000000004,967.7
2076,40.5,22.300000000000004,976.56
2077,40.5,22.300000000000004,1006.0
2078,40.5,22.300000000000004,961.81
2079,40.5,22.300000000000004,976.72
2080,40.5,22.300000000000004,983.0
2081,40.5,22.300000000000004,965.39
2082,40.5,22.300000000000004,971.74
2083,40.5,22.300000000000004,975.14
2084,40.5,22.300000000000004,982.9
2085,40.5,22.300000000000004,944.09
2086,40.5,22.300000000000004,961.32
2087,40.5,22.300000000000004,963.25
2088,40.5,22.300000000000004,951.25
2089,40.5,22.300000000000004,977.37
2090,40.5,22.300000000000004,1013.12
2091,40.5,22.300000000000004,955.15
2092,40.5,22.300000000000004,984.4
2093,40.5,22.300000000000004,988.06
2094,40.5,22.300000000000004,966.44
2095,40.5,22.300000000000004,950.26
2096,40.5,22.300000000000004,947.8
2097,40.5,22.300000000000004,953.31
2098,40.5,22.300000000000004,978.13
2099,40.5,22.300000000000004,964.51
2100,40.5,22.300000000000004,984.22
2021,40.5,22.40000000000001,930.65
2022,40.5,22.40000000000001,946.62
2023,40.5,22.40000000000001,912.33
2024,40.5,22.40000000000001,923.64
2025,40.5,22.40000000000001,920.86
2026,40.5,22.40000000000001,933.56
2027,40.5,22.40000000000001,960.87
2028,40.5,22.40000000000001,955.56
2029,40.5,22.40000000000001,969.03
2030,40.5,22.40000000000001,947.53
2031,40.5,22.40000000000001,935.59
2032,40.5,22.40000000000001,941.27
2033,40.5,22.40000000000001,931.75
2034,40.5,22.40000000000001,929.83
2035,40.5,22.40000000000001,931.94
2036,40.5,22.40000000000001,948.27
2037,40.5,22.40000000000001,953.11
2038,40.5,22.40000000000001,967.76
2039,40.5,22.40000000000001,947.46
2040,40.5,22.40000000000001,955.47
2041,40.5,22.40000000000001,917.93
2042,40.5,22.40000000000001,963.6
2043,40.5,22.40000000000001,960.94
2044,40.5,22.40000000000001,970.18
2045,40.5,22.40000000000001,938.38
2046,40.5,22.40000000000001,964.01
2047,40.5,22.40000000000001,944.24
2048,40.5,22.40000000000001,945.68
2049,40.5,22.40000000000001,959.89
2050,40.5,22.40000000000001,965.85
2051,40.5,22.40000000000001,937.26
2052,40.5,22.40000000000001,974.98
2053,40.5,22.40000000000001,958.49
2054,40.5,22.40000000000001,968.78
2055,40.5,22.40000000000001,928.25
2056,40.5,22.40000000000001,960.35
2057,40.5,22.40000000000001,951.99
2058,40.5,22.40000000000001,974.29
2059,40.5,22.40000000000001,949.94
2060,40.5,22.40000000000001,961.5
2061,40.5,22.40000000000001,977.47
2062,40.5,22.40000000000001,945.58
2063,40.5,22.40000000000001,965.73
2064,40.5,22.40000000000001,974.76
2065,40.5,22.40000000000001,961.12
2066,40.5,22.40000000000001,936.81
2067,40.5,22.40000000000001,972.26
2068,40.5,22.40000000000001,948.78
2069,40.5,22.40000000000001,962.17
2070,40.5,22.40000000000001,950.47
2071,40.5,22.40000000000001,945.69
2072,40.5,22.40000000000001,947.2
2073,40.5,22.40000000000001,955.95
2074,40.5,22.40000000000001,959.36
2075,40.5,22.40000000000001,946.13
2076,40.5,22.40000000000001,971.45
2077,40.5,22.40000000000001,996.12
2078,40.5,22.40000000000001,951.52
2079,40.5,22.40000000000001,966.42
2080,40.5,22.40000000000001,971.0
2081,40.5,22.40000000000001,952.1
2082,40.5,22.40000000000001,961.41
2083,40.5,22.40000000000001,958.75
2084,40.5,22.40000000000001,975.52
2085,40.5,22.40000000000001,924.7
2086,40.5,22.40000000000001,942.48
2087,40.5,22.40000000000001,953.54
2088,40.5,22.40000000000001,940.37
2089,40.5,22.40000000000001,962.77
2090,40.5,22.40000000000001,1002.06
2091,40.5,22.40000000000001,938.68
2092,40.5,22.40000000000001,965.67
2093,40.5,22.40000000000001,978.6
2094,40.5,22.40000000000001,950.53
2095,40.5,22.40000000000001,938.25
2096,40.5,22.40000000000001,932.16
2097,40.5,22.40000000000001,938.76
2098,40.5,22.40000000000001,968.66
2099,40.5,22.40000000000001,952.52
2100,40.5,22.40000000000001,972.29
2021,40.7,22.0,878.53
2022,40.7,22.0,897.04
2023,40.7,22.0,841.74
2024,40.7,22.0,869.14
2025,40.7,22.0,858.36
2026,40.7,22.0,847.23
2027,40.7,22.0,899.93
2028,40.7,22.0,896.56
2029,40.7,22.0,902.03
2030,40.7,22.0,891.2
2031,40.7,22.0,878.74
2032,40.7,22.0,871.12
2033,40.7,22.0,879.28
2034,40.7,22.0,855.53
2035,40.7,22.0,864.39
2036,40.7,22.0,889.28
2037,40.7,22.0,886.03
2038,40.7,22.0,923.95
2039,40.7,22.0,890.58
2040,40.7,22.0,886.18
2041,40.7,22.0,834.81
2042,40.7,22.0,907.51
2043,40.7,22.0,898.66
2044,40.7,22.0,901.67
2045,40.7,22.0,855.21
2046,40.7,22.0,897.99
2047,40.7,22.0,876.66
2048,40.7,22.0,866.08
2049,40.7,22.0,910.77
2050,40.7,22.0,912.07
2051,40.7,22.0,865.07
2052,40.7,22.0,921.16
2053,40.7,22.0,896.48
2054,40.7,22.0,895.73
2055,40.7,22.0,849.21
2056,40.7,22.0,896.21
2057,40.7,22.0,886.68
2058,40.7,22.0,917.48
2059,40.7,22.0,876.15
2060,40.7,22.0,894.48
2061,40.7,22.0,918.3
2062,40.7,22.0,878.78
2063,40.7,22.0,891.53
2064,40.7,22.0,917.4
2065,40.7,22.0,904.99
2066,40.7,22.0,879.38
2067,40.7,22.0,909.16
2068,40.7,22.0,873.06
2069,40.7,22.0,883.74
2070,40.7,22.0,895.05
2071,40.7,22.0,882.37
2072,40.7,22.0,877.77
2073,40.7,22.0,902.05
2074,40.7,22.0,885.21
2075,40.7,22.0,883.34
2076,40.7,22.0,912.85
2077,40.7,22.0,946.93
2078,40.7,22.0,888.89
2079,40.7,22.0,910.26
2080,40.7,22.0,915.19
2081,40.7,22.0,899.09
2082,40.7,22.0,907.03
2083,40.7,22.0,904.26
2084,40.7,22.0,904.27
2085,40.7,22.0,841.53
2086,40.7,22.0,875.8
2087,40.7,22.0,887.27
2088,40.7,22.0,857.78
2089,40.7,22.0,907.65
2090,40.7,22.0,945.31
2091,40.7,22.0,867.1
2092,40.7,22.0,904.52
2093,40.7,22.0,916.73
2094,40.7,22.0,888.81
2095,40.7,22.0,863.55
2096,40.7,22.0,852.86
2097,40.7,22.0,869.59
2098,40.7,22.0,925.6
2099,40.7,22.0,890.55
2100,40.7,22.0,913.33
2021,40.7,22.1,921.42
2022,40.7,22.1,958.62
2023,40.7,22.1,913.79
2024,40.7,22.1,926.58
2025,40.7,22.1,918.45
2026,40.7,22.1,932.21
2027,40.7,22.1,952.67
2028,40.7,22.1,943.41
2029,40.7,22.1,958.91
2030,40.7,22.1,943.61
2031,40.7,22.1,927.26
2032,40.7,22.1,927.11
2033,40.7,22.1,920.99
2034,40.7,22.1,924.67
2035,40.7,22.1,918.11
2036,40.7,22.1,932.88
2037,40.7,22.1,960.11
2038,40.7,22.1,968.76
2039,40.7,22.1,930.74
2040,40.7,22.1,952.6
2041,40.7,22.1,912.97
2042,40.7,22.1,967.85
2043,40.7,22.1,950.46
2044,40.7,22.1,955.82
2045,40.7,22.1,925.73
2046,40.7,22.1,950.21
2047,40.7,22.1,934.67
2048,40.7,22.1,927.06
2049,40.7,22.1,960.61
2050,40.7,22.1,944.96
2051,40.7,22.1,923.98
2052,40.7,22.1,974.83
2053,40.7,22.1,956.23
2054,40.7,22.1,956.63
2055,40.7,22.1,919.75
2056,40.7,22.1,947.08
2057,40.7,22.1,949.09
2058,40.7,22.1,965.36
2059,40.7,22.1,918.91
2060,40.7,22.1,965.23
2061,40.7,22.1,963.53
2062,40.7,22.1,944.53
2063,40.7,22.1,952.14
2064,40.7,22.1,966.66
2065,40.7,22.1,956.86
2066,40.7,22.1,933.43
2067,40.7,22.1,970.31
2068,40.7,22.1,934.77
2069,40.7,22.1,943.47
2070,40.7,22.1,949.14
2071,40.7,22.1,933.56
2072,40.7,22.1,933.88
2073,40.7,22.1,958.38
2074,40.7,22.1,950.73
2075,40.7,22.1,947.95
2076,40.7,22.1,953.95
2077,40.7,22.1,993.95
2078,40.7,22.1,939.59
2079,40.7,22.1,953.83
2080,40.7,22.1,967.0
2081,40.7,22.1,949.88
2082,40.7,22.1,957.92
2083,40.7,22.1,950.14
2084,40.7,22.1,959.55
2085,40.7,22.1,921.14
2086,40.7,22.1,931.66
2087,40.7,22.1,948.18
2088,40.7,22.1,936.23
2089,40.7,22.1,950.02
2090,40.7,22.1,994.31
2091,40.7,22.1,935.19
2092,40.7,22.1,964.73
2093,40.7,22.1,973.07
2094,40.7,22.1,948.04
2095,40.7,22.1,925.44
2096,40.7,22.1,922.62
2097,40.7,22.1,929.59
2098,40.7,22.1,966.74
2099,40.7,22.1,944.82
2100,40.7,22.1,965.94
2021,40.7,22.200000000000003,938.61
2022,40.7,22.200000000000003,966.0
2023,40.7,22.200000000000003,934.71
2024,40.7,22.200000000000003,947.17
2025,40.7,22.200000000000003,940.87
2026,40.7,22.200000000000003,956.59
2027,40.7,22.200000000000003,971.92
2028,40.7,22.200000000000003,962.93
2029,40.7,22.200000000000003,977.95
2030,40.7,22.200000000000003,963.96
2031,40.7,22.200000000000003,949.09
2032,40.7,22.200000000000003,953.07
2033,40.7,22.200000000000003,936.46
2034,40.7,22.200000000000003,951.64
2035,40.7,22.200000000000003,947.25
2036,40.7,22.200000000000003,954.38
2037,40.7,22.200000000000003,975.92
2038,40.7,22.200000000000003,984.43
2039,40.7,22.200000000000003,953.9
2040,40.7,22.200000000000003,973.06
2041,40.7,22.200000000000003,942.47
2042,40.7,22.200000000000003,982.45
2043,40.7,22.200000000000003,979.2
2044,40.7,22.200000000000003,976.04
2045,40.7,22.200000000000003,952.03
2046,40.7,22.200000000000003,972.93
2047,40.7,22.200000000000003,958.82
2048,40.7,22.200000000000003,953.0
2049,40.7,22.200000000000003,972.0
2050,40.7,22.200000000000003,969.3
2051,40.7,22.200000000000003,948.28
2052,40.7,22.200000000000003,993.39
2053,40.7,22.200000000000003,975.58
2054,40.7,22.200000000000003,979.95
2055,40.7,22.200000000000003,943.12
2056,40.7,22.200000000000003,972.78
2057,40.7,22.200000000000003,966.67
2058,40.7,22.200000000000003,981.15
2059,40.7,22.200000000000003,951.08
2060,40.7,22.200000000000003,981.99
2061,40.7,22.200000000000003,981.85
2062,40.7,22.200000000000003,959.62
2063,40.7,22.200000000000003,976.26
2064,40.7,22.200000000000003,983.42
2065,40.7,22.200000000000003,975.8
2066,40.7,22.200000000000003,950.77
2067,40.7,22.200000000000003,989.97
2068,40.7,22.200000000000003,963.57
2069,40.7,22.200000000000003,969.72
2070,40.7,22.200000000000003,968.64
2071,40.7,22.200000000000003,960.26
2072,40.7,22.200000000000003,959.81
2073,40.7,22.200000000000003,974.19
2074,40.7,22.200000000000003,969.26
2075,40.7,22.200000000000003,969.03
2076,40.7,22.200000000000003,977.43
2077,40.7,22.200000000000003,1004.93
2078,40.7,22.200000000000003,963.34
2079,40.7,22.200000000000003,972.3
2080,40.7,22.200000000000003,988.07
2081,40.7,22.200000000000003,966.49
2082,40.7,22.200000000000003,974.69
2083,40.7,22.200000000000003,973.18
2084,40.7,22.200000000000003,981.99
2085,40.7,22.200000000000003,949.02
2086,40.7,22.200000000000003,957.14
2087,40.7,22.200000000000003,975.25
2088,40.7,22.200000000000003,958.76
2089,40.7,22.200000000000003,971.34
2090,40.7,22.200000000000003,1009.9
2091,40.7,22.200000000000003,962.05
2092,40.7,22.200000000000003,984.99
2093,40.7,22.200000000000003,991.51
2094,40.7,22.200000000000003,970.33
2095,40.7,22.200000000000003,949.99
2096,40.7,22.200000000000003,949.64
2097,40.7,22.200000000000003,954.49
2098,40.7,22.200000000000003,983.64
2099,40.7,22.200000000000003,964.46
2100,40.7,22.200000000000003,983.25
2021,40.7,22.300000000000004,939.91
2022,40.7,22.300000000000004,951.02
2023,40.7,22.300000000000004,930.35
2024,40.7,22.300000000000004,946.19
2025,40.7,22.300000000000004,938.67
2026,40.7,22.300000000000004,948.93
2027,40.7,22.300000000000004,970.74
2028,40.7,22.300000000000004,965.12
2029,40.7,22.300000000000004,976.55
2030,40.7,22.300000000000004,963.73
2031,40.7,22.300000000000004,951.35
2032,40.7,22.300000000000004,956.72
2033,40.7,22.300000000000004,936.6
2034,40.7,22.300000000000004,951.84
2035,40.7,22.300000000000004,954.12
2036,40.7,22.300000000000004,957.02
2037,40.7,22.300000000000004,965.23
2038,40.7,22.300000000000004,982.63
2039,40.7,22.300000000000004,960.01
2040,40.7,22.300000000000004,967.83
2041,40.7,22.300000000000004,945.19
2042,40.7,22.300000000000004,973.92
2043,40.7,22.300000000000004,984.54
2044,40.7,22.300000000000004,976.83
2045,40.7,22.300000000000004,952.17
2046,40.7,22.300000000000004,974.11
2047,40.7,22.300000000000004,961.23
2048,40.7,22.300000000000004,957.97
2049,40.7,22.300000000000004,964.81
2050,40.7,22.300000000000004,979.75
2051,40.7,22.300000000000004,949.5
2052,40.7,22.300000000000004,990.04
2053,40.7,22.300000000000004,971.94
2054,40.7,22.300000000000004,980.5
2055,40.7,22.300000000000004,940.91
2056,40.7,22.300000000000004,978.3
2057,40.7,22.300000000000004,960.42
2058,40.7,22.300000000000004,980.37
2059,40.7,22.300000000000004,965.83
2060,40.7,22.300000000000004,972.98
2061,40.7,22.300000000000004,982.33
2062,40.7,22.300000000000004,950.38
2063,40.7,22.300000000000004,977.42
2064,40.7,22.300000000000004,981.41
2065,40.7,22.300000000000004,975.49
2066,40.7,22.300000000000004,947.77
2067,40.7,22.300000000000004,986.46
2068,40.7,22.300000000000004,968.26
2069,40.7,22.300000000000004,973.21
2070,40.7,22.300000000000004,966.37
2071,40.7,22.300000000000004,965.16
2072,40.7,22.300000000000004,964.01
2073,40.7,22.300000000000004,968.01
2074,40.7,22.300000000000004,964.68
2075,40.7,22.300000000000004,962.2
2076,40.7,22.300000000000004,984.47
2077,40.7,22.300000000000004,997.95
2078,40.7,22.300000000000004,966.43
2079,40.7,22.300000000000004,972.67
2080,40.7,22.300000000000004,989.64
2081,40.7,22.300000000000004,963.34
2082,40.7,22.300000000000004,971.72
2083,40.7,22.300000000000004,976.54
2084,40.7,22.300000000000004,984.19
2085,40.7,22.300000000000004,946.96
2086,40.7,22.300000000000004,960.06
2087,40.7,22.300000000000004,977.5
2088,40.7,22.300000000000004,953.48
2089,40.7,22.300000000000004,974.42
2090,40.7,22.300000000000004,1006.25
2091,40.7,22.300000000000004,961.53
2092,40.7,22.300000000000004,981.31
2093,40.7,22.300000000000004,989.48
2094,40.7,22.300000000000004,968.64
2095,40.7,22.300000000000004,950.48
